"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"WIP: Generative vs. Traditional Computer-Aided Design-How Design Tools Impact CAD Artifact Quality","A. Hall; M. H. Goldstein","Industrial and Enterprise Systems Engineering, University of Illinois at Urbana-Champaign, Urbana-Champaign, USA; Industrial and Enterprise Systems Engineering, University of Illinois at Urbana-Champaign, Urbana-Champaign, USA",2024 IEEE Frontiers in Education Conference (FIE),"26 Feb 2025","2024","","","1","5","This work-in-progress research paper explores the effects of generative AI design tools on engineering students' design artifacts during computer-aided design (CAD) tasks with the objective to better understand the impact of emergent design tools on design artifacts to better inform the development of curriculum surrounding generative design. Our research explored the question: to what extent does engaging in generative design produce a different quality artifact as compared to traditional design? This study utilized a mixed methods approach to compare students' $(\mathrm{n}=20)$ CAD artifact quality between two separate tasks; one completed with traditional parametric modeling and the other with generative design tools. Preliminary findings indicate that students produced a significantly higher quality design artifact using generative design as compared to artifacts created using traditional parametric methods.","2377-634X","979-8-3503-5150-7","10.1109/FIE61694.2024.10892999","National Science Foundation(grant numbers:2207408); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10892999","engineering design;generative design;computer-aided design;design artifact assessment","Measurement;Design automation;Generative AI;Design tools;Parametric statistics;Engineering students","","","","15","IEEE","26 Feb 2025","","","IEEE","IEEE Conferences"
"A Generative Comparative Study of Industrial Design Based on AIGC Tools and Deep Learning","Y. Jiang; X. Yao","Universiti Sains Malaysia, Penang, Malaysia; Guangxi Eco-engineering Vocational and Technical College, Liuzhou, China",2025 IEEE 3rd International Conference on Image Processing and Computer Applications (ICIPCA),"5 Sep 2025","2025","","","1619","1622","With the rapid advancement of artificial intelligence-generated content (AIGC) technology, the field of industrial design is undergoing unprecedented transformations. By leveraging deep learning algorithms and generative models, AIGC tools can autonomously generate creative design solutions, offering designers inspiration and accelerating product development. However, the practical impact of AIGC tools differs significantly from traditional design methods. This study aims to compare and analyze the performance of AIGC tools versus traditional industrial design techniques in the generative design process, with a focus on evaluating differences in creativity, efficiency, design quality, and adaptability. Currently, AIGC tools on the market exhibit notable variations in their generative characteristics, and they have been widely adopted in fields such as product design, architectural planning, packaging design, and graphic design. However, no AIGC tools are specifically tailored for industrial equipment styling. Each AIGC tool operates on distinct algorithms and generative features, resulting in different output when processing the same content. Therefore, selecting high-quality, accurate AIGC design tools for industrial equipment design remains a challenging problem that requires further exploration.","","979-8-3315-2284-1","10.1109/ICIPCA65645.2025.11138555","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11138555","AIGC;Industrial design;generative contrast;deep learning","Deep learning;Graphics;Packaging;Product development;Product design;Design tools;Planning;Artificial intelligence;Usability;Image reconstruction","","","","8","IEEE","5 Sep 2025","","","IEEE","IEEE Conferences"
"Design Education in Human-AI Co-Creation: A Qualitative Analysis of Using Image Generative Models in Conceptual Design","Y. Shou; X. Zhang; C. Wang; A. Shen; H. Fan; R. Cai; Y. Yin; J. Zhou; C. Chai; S. Sun","State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China; State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China; State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China; State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China; State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China; State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China; State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China; State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China; State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China; State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China",2024 17th International Symposium on Computational Intelligence and Design (ISCID),"13 Jun 2025","2024","","","23","27","In the context of ongoing advancements in artificial intelligence technology, creative collaboration between humans and AI has become increasingly common. However, there remains a lack of comprehensive research on the long-term cooperation between creators and AI design tools. This study explores the evolution of the co-creation process between designers and AI through a nine-week innovative training workshop, inviting 30 designers to collaborate with the generative AI tool Midjourney. Four rounds of in-depth interviews were conducted with participants over two months, using the grounded theory method for qualitative analysis. Drawing from the findings, we have identified five core competencies necessary for co-creation with AI and provided suggestions for fostering creative collaboration with AI to guide design educational practice.","2473-3547","979-8-3315-2725-9","10.1109/ISCID63852.2024.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11027828","human-AI co-creation;design education;grounded theory;image generative models","Training;Analytical models;Generative AI;Conferences;Computational modeling;Collaboration;Design tools;Interviews;Computational intelligence","","","","19","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Application of Generative AI in the Interior Design of Autonomous Vehicles","C. -R. Zhong; C. -C. Chen; M. -C. Zheng; J. -L. Lin","Doctoral Program in Design, College of Design, National Taipei University of Technology, Taipei, Taiwan; Department of Interaction Design, National Taipei University of Technology, Taipei, Taiwan; Department of Industrial Design, National Taipei University of Technology, Taipei, Taiwan; Doctoral Program in Design, College of Design, National Taipei University of Technology, Taipei, Taiwan",2025 IEEE 5th International Conference on Software Engineering and Artificial Intelligence (SEAI),"14 Aug 2025","2025","","","383","388","With the development of autonomous driving technology, the car's interior space is changing from driver-oriented to passenger experience-oriented, which makes the car's interior design face the demand for innovation and development space. Therefore, to promote the in-depth application of AI technology in car design, this study examines the interior design of autonomous vehicles as a case study to investigate the effectiveness of generative AI applications in automotive interior design and to evaluate the quality of the generated content. Using a questionnaire survey method, designers from different professions were invited to assess the design quality of generative AI. The findings reveal that RAG-LLM and ChatGPT significantly outperform LLM in terms of the quality of design research texts, with ChatGPT-generated texts being particularly well-received by designers. Furthermore, leveraging the high-quality text outputs from ChatGPT, the concept design renderings generated by Midjourney were also highly regarded by designers with different levels of experience.","","979-8-3315-1361-0","10.1109/SEAI65851.2025.11108796","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11108796","generative AI;large language models (LLM);autonomous driving;automotive interior design applications;design quality criteria","Surveys;Technological innovation;Generative AI;Large language models;Chatbots;Rendering (computer graphics);Autonomous vehicles;Faces;Automotive engineering;Software engineering","","","","12","IEEE","14 Aug 2025","","","IEEE","IEEE Conferences"
"Intelligent Clothing Design and Embodied Cognitive System Based on Convolutional Neural Network and Generative Adversarial Network","Y. Xiang","School of Design & Innovation, China Academy of Art, Hangzhou, China","2024 International Conference on Electronics and Devices, Computational Science (ICEDCS)","16 Jan 2025","2024","","","1173","1178","With the popularization of virtual reality networks, monitoring intelligent clothing equipped with various flexible sensors is developing in the direction of combining clothing with science and technology, becoming an important niche market in the clothing industry. From the perspective of art and design, traditional clothing has three core attributes: beauty, comfort, and economy. However, as a specific type of clothing, smart clothing should not only meet daily wear requirements, but also consider functionality and safety. This requires designers to integrate the materials and electronic elements in smart clothing with the overall design of the garment. In addition, in smart clothing, the use of soft, elastic, and easily washable materials to replace some electronic components to enhance their wearing comfort and safety is also a concern for designers and users. This study is based on convolutional neural network (CNN) and generating adversarial networks (GAN) technologies, combined with the dataset extended by Bok intelligent CAD software, for intelligent clothing design. In the experiment, using a detailed body size dataset of 1100 children, the training accuracy of the CNN model increased from the initial 75% to 92%, and the F1 score increased from 73% to 91%. In addition, the quality score of the images generated by the GAN model increased from 6.8 to 8.0. The results showed that the designed smart clothing scored above 8 points in terms of comfort, functionality, and safety, demonstrating the superiority of smart clothing in practical applications. This study not only provides effective methods for the design of smart clothing, but also demonstrates its potential in improving user wearing experience and safety.","","979-8-3315-2762-4","10.1109/ICEDCS64328.2024.00214","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10834920","Intelligent Clothing Design;Convolutional Neural Network;Generate Adversarial Networks;Flexible Sensor","Smart textiles;Solid modeling;Clothing;Electronic components;Virtual reality;Generative adversarial networks;Software;Safety;Convolutional neural networks;Intelligent sensors","","","","20","IEEE","16 Jan 2025","","","IEEE","IEEE Conferences"
"Improving the Flexural Behaviour of Small Clear 3D-Printed PLA Specimens Through Generative Design","R. Ramful; M. Shoaib Casseem","Mechanical & Production Engineering Department, University of Mauritius, Réduit, Mauritius; Department of Software and Information Systems, University of Mauritius, Réduit, Mauritius",2023 International Conference on Sustainable Technology and Engineering (i-COSTE),"22 Apr 2024","2023","","","1","5","The interest to look into alternative engineered materials, which would maximize the efficiency and performance attributes in numerous modern engineering application as well as to push the boundary imposed by present-day material science in the field engineering, is ever so high. One commonly searched feature in engineered materials is their high strength-to-weight ratio. The new AI (Artificial Intelligence) -driven technique of generative design has revolutionized the method of design refinement in Computer-Aided Design (CAD) by enabling advanced optimization techniques which was formerly-unavailable. This study seeks to apply the technique of generative design to improve the flexural behaviour of small clear Polylactic acid (PLA) specimens produced through the additive manufacturing process. The results obtained have shown that despite the optimized material geometry and weight, the refined model was still able to bear significantly high bending loads. Further analysis via the Finite Element Method (FEM) was conducted to substantiate the experimental investigation. Findings of this study illustrates the benefits of generative design which can seamlessly provide advanced design refinements all while preserving or enhancing mechanical performance of the material.","","979-8-3503-2971-1","10.1109/i-COSTE60462.2023.10500778","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10500778","Generative design;3D-Printing;flexural behaviour;additive manufacturing;design optimization;Finite Element Method (FEM)","Geometry;Solid modeling;Design automation;Programmable logic arrays;Bending;Three-dimensional printing;Finite element analysis","","","","12","IEEE","22 Apr 2024","","","IEEE","IEEE Conferences"
"Exploratory Application of Generative AI in Urban Planning and Design Processes","C. Wang; G. Liu; M. Hu","School of Architecture, Southeast University, Nanjing, China; AIGC Group, Dimension 5 Techs, Nanjing, China; School of Architecture, Southeast University, Nanjing, China","2024 3rd International Conference on Cloud Computing, Big Data Application and Software Engineering (CBASE)","14 Jan 2025","2024","","","673","676","The technological innovation of generative AI tools has significantly changed the traditional logic of content production, offering new avenues for creative inspiration and expanding the possibilities within the fields of urban planning and design. Nowadays, as urban design is characterized by a transformation centered around digital technological methodologies, the empowerment of urban design through emerging technologies to achieve human-centric, refined, and intelligent design outcomes represents an inevitable trend in future development. This article introduces the concept and development status of generative AI, and proposes possible paths for generative AI to intervene in urban design at three stages: conceptual inspiration, spatial design, and outcome expression. It provides ideas for the application of artificial intelligence technology in urban space area.","","979-8-3315-0658-2","10.1109/CBASE64041.2024.10824586","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10824586","Urban planning and design;Generative AI;AIGC","Technological innovation;Generative AI;Space technology;Urban planning;Production;Lead;Market research;Stakeholders;Logic;Software engineering","","","","14","IEEE","14 Jan 2025","","","IEEE","IEEE Conferences"
"Responsible Generative AI for Software Development Life Cycle","J. A. Shah; G. Bajpai","Cyber Security Engineering Canada DevOps Community of Pracitce & IEEE YP Toronto, Ontario, Canada; Sofware Development & AI Engineering Canada DevOps Community of Pracitce Ottawa, Ontario, Canada",2025 IEEE World AI IoT Congress (AIIoT),"12 Aug 2025","2025","","","0056","0061","Software practitioners are driving a paradigm shift in software engineering practices by integrating generative AI technology into software development and lifecycle management. Integration of generative AI to plan, design, develop, test and maintain software brings productivity gains and enables rapid software releases, however it also presents ethical challenges. This paper examines strategies for developing software through integration of responsible Generative AI that endures, emphasizing primarily the ethical considerations, and the responsible use of Generative technology. It covers the benefits and challenges of collaborative development with responsible Generative AI technologies. The paper focuses on responsible use of generative AI considerations which are likely to induce software integrity and trust. The paper presents best practices, audits, assessments and benchmarking concepts for Gen AI integrated software development and lifecycle management. Subsequently, the paper highlights the importance of safeguarding the integrity of the software development lifecycle through incorporating responsible AI principles, mainly fairness, bias mitigation, privacy and data security, transparency and accountability. Lastly, presenting recommendation for built-in and add-on capabilities for responsible use of GenAI integration into SDLC which paves the way to the trusted ecosystem of GenAI integration for software practitioners.","","979-8-3315-2508-8","10.1109/AIIoT65859.2025.11105309","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11105309","Artificial Intelligence;Generative AI;Software Development Life Cycle;Software Engineering;Security","Productivity;Ethics;Technological innovation;Generative AI;Reviews;Biological system modeling;Organizations;Software;Software development management;Software engineering","","","","13","IEEE","12 Aug 2025","","","IEEE","IEEE Conferences"
"Enhancing Software Design and Developer Experience Via LLMs","S. Sun","Chalmers | University of Gothenburg, Gothenburg, Sweden",2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),"29 Nov 2024","2024","","","2498","2501","This research explores the transformative potential of generative AI in software development. Generative AI is revolutionizing the field by offering capabilities to automatically generate, refactor, and test code. Through the use of action research, new methods and tools based on generative AI models are studied and developed. The initial focus is on the models’ ability to comprehend high-level design concepts. Subsequently, the research moves into the augmented generation of software artifacts. Finally, organization-specific or task-specific methods are introduced to enhance software developers’ productivity and experience.CCS CONCEPTS• Software and its engineering → Software development process management; Software development methods;","2643-1572","979-8-4007-1248-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10765018","Generative AI;LLM;CI/CD;Log Analysis","Productivity;Software design;Codes;Generative AI;Software;Software development management;Software engineering","","","","21","","29 Nov 2024","","","IEEE","IEEE Conferences"
"Toward Design-by-Contract Based Generative Tool for Object-Oriented System","A. Algarni; K. Magel","Computer Science Department, North Dakota State University, Fargo, ND, USA; Computer Science Department, North Dakota State University, Fargo, ND, USA",2018 IEEE 9th International Conference on Software Engineering and Service Science (ICSESS),"10 Mar 2019","2018","","","168","173","Code generation tools are known to be highly effective for developing an object-oriented system, as these systems require developers to design the system early in the development. With the increased adoption of Agile methods for developing and managing software processes, many software industries have been using tools such as Jira and Agilean for project planning, monitoring, release management, retrospective analysis, and activity evaluation. The advantages of utilizing these tools are building a channel for communication, organizing and prioritizing work, visibility, flexibility, and transparency. However, these tools don't provide guidance in early stages of development. This paper introduces a tool that injects a new developer-centric artifact called developer story. Developer stories are short, structural descriptions of a system blueprint. The tool directs Agile developers in creating the detailed design of a system early in the development stage, after which it generates the source code supporting the Design by Contract approach. The essence of a developer-centric tool is to focus on what the developer needs to implement. We evaluate the tool by developing a small-scale application and demonstrating how the Design by Contract approach is applied.","2327-0594","978-1-5386-6565-7","10.1109/ICSESS.2018.8663719","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8663719","Object Oriented System;Software Design;Design by Contract;Code Generation Tool;Agile Software Development","Tools;Software;Unified modeling language;Contracts;Object oriented modeling;Buildings;Design methodology","","2","","34","IEEE","10 Mar 2019","","","IEEE","IEEE Conferences"
"Intelligent Inverse Designs of Impedance Matching Circuits With Generative Adversarial Network","J. Zhang; Z. Wei; K. Kang; W. -Y. Yin","Innovative Institute of Electromagnetic Information and Electronic Integration, College of Information and Electronic Engineering, Zhejiang University, Hangzhou, China; Innovative Institute of Electromagnetic Information and Electronic Integration, College of Information and Electronic Engineering, Zhejiang University, Hangzhou, China; School of Electronic Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; Innovative Institute of Electromagnetic Information and Electronic Integration, College of Information and Electronic Engineering, Zhejiang University, Hangzhou, China",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,"19 Sep 2024","2024","43","10","3171","3183","Impedance matching circuits (IMCs) are crucial modules in radio frequency (RF) front-end components, devices, and systems, affecting the performance of the whole systems. However, the design process of IMCs has to require intense manual interventions with high computational costs. To alleviate this problem, a novel scheme for inversely designing IMCs is presented in this work based on neural network technology. Such IMC inverse design framework consists of two mapping-based deep neural networks (DNNs). The first one is an untrained generative adversarial network (GAN) that maps from the design requirements to the regularized S-parameters curves. The second one is an inversion network that maps from the S-parameters and the target impedance to the designed circuit parameters. With the cascaded GAN and inversion network, an efficient method for designing IMC-based filtering antenna is introduced, which takes about 1/17 the time compared to the traditional EM-based design and optimization methods. Further, three power amplifiers (PAs) with multiple IMCs are inversely-designed based on the proposed framework. In experimental demonstration, the elaborate prototypes are fabricated and measured, where the measured results fully satisfy the demand performance.","1937-4151","","10.1109/TCAD.2024.3385368","National Natural Science Foundation of China (NSFC)(grant numbers:61931007,62071418); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10492453","Filtering antenna;generative adversarial network (GAN);impedance matching circuit (IMC);inverse design;inversion network;power amplifier (PA)","Generative adversarial networks;Impedance matching;Impedance;Topology;Scattering parameters;Network topology;Microwave filters","","11","","41","IEEE","4 Apr 2024","","","IEEE","IEEE Journals"
"Bringing Mechatronic Engineers Closer to the Use of AI Through Generative Design for Manual Power Tools","H. R. Morano-Okuno; E. Garcia-Moran; G. Sandoval-Benitez; R. Caltenco-Castillo","Tecnologico de Monterrey, School of Engineering and Science, Mexico; Tecnologico de Monterrey, School of Engineering and Science, Mexico; Tecnologico de Monterrey, School of Engineering and Science, Mexico; Tecnologico de Monterrey, School of Engineering and Science, Mexico",2024 International Conference on Electrical and Computer Engineering Researches (ICECER),"18 Mar 2025","2024","","","1","5","Nowadays, several software applications are based on AI algorithms. One of them is the use of Generative Design applications to develop products. This work delves into a practical software application based on AI algorithms to create generative designs for products such as the housing of manual power tools. A case study is used to determine the necessary constraints to design these types of products, and a methodology to create them is described and shared. The results show that the information provided by the software application during the design process is practical and helps develop these types of products; some of this information includes the product mesh representations to be 3D printed, the different design proposals to be selected, and a graphic table where users can compare materials vs. maximum stress. Another result is that the software application is user-friendly and guides the engineers in completing the Generative Design.","","979-8-3315-3973-3","10.1109/ICECER62944.2024.10920412","Tecnologico de Monterrey; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10920412","artificial intelligence;mechatronics design;generative design;educational innovation;higher education;professional education","Technological innovation;Mechatronics;Software algorithms;Education;Manuals;Three-dimensional printing;Software;Proposals;Artificial intelligence;Stress","","","","20","IEEE","18 Mar 2025","","","IEEE","IEEE Conferences"
